County,Company Name,Phone,Website
"Carlow","Panda Green","01 8298992","https://www.panda.ie/household/"
"Carlow","Ray Whelan Limited","059 9147 678","https://www.raywhelan.ie"
"Carlow","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Carlow","Doheny Wheelie Bins & Recycling Limited","056 772 9838","https://www.dohenywheeliebins.com"
"Cavan","Mulleadys Ltd","043 3324 128","https://www.mulleadys.com"
"Cavan","Oxigen Environmental Unlimited Company","0818 694 436","https://www.oxigen.ie/"
"Cavan","The Binman","086 3517273",""
"Cavan","Wilton Waste Recycling / Wilton Recycling / Dolly Skip Hire","049 4336 476","https://www.wilton-recycling.ie"
"Cavan","Allied Recycling","046 9433366","http://www.alliedrecycling.ie"
"Cavan","Barna Recycling","091 771 620","https://www.barnarecycling.com"
"Cavan","Blue Dolphin Environmental Ltd","047 577 86","https://www.bluedolphinrecycling.ie"
"Cavan","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Clare","Mr Binman","061 351 127","https://www.mrbinman.com"
"Clare","Barna Recycling","091 771 621","https://www.barnarecycling.com"
"Clare","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Clare","Clean Ireland Recycling","1890 361 800","https://www.cleanireland.ie"
"Cork","KWD Recycling","1850 373 737","https://www.kwd.ie"
"Cork","Mr Binman","061 351 128","https://www.mrbinman.com"
"Cork","Panda Green","01 8298992","https://www.panda.ie/household/"
"Cork","Whites Skip Hire","063 849 70","https://www.whitesskiphire.ie"
"Cork","Wiser Recycling, Wiser Bins on Wheels, Wiser Bin-a-Bag","021 4630 601","https://www.wiserbins.ie"
"Cork","Country Clean Recycling Unlimited Company","022 468 48","https://www.countryclean.ie"
"Donegal","Logan Waste","074 9108 111","https://www.loganwaste.com"
"Donegal","Panda Green","01 8298992","https://www.panda.ie/household/"
"Donegal","Sharkey Waste & Recycle","074 9548 229","http://www.sharkeywaste.ie/"
"Donegal","The Binman","086 3517273",""
"Donegal","DM Waste","074 915 7189","https://www.dmwaste.com"
"Donegal","Donegal Waste & Recycle","074 974 0130","https://www.donegalwasteandrecycle.com"
"Dublin","Panda Green","01 8298992","https://www.panda.ie/household/"
"Dublin","The City Bin Co. Unlimited Company","1800 248 925","https://www.citybin.com"
"Dublin","Thorntons Recycling","01 6235 133","https://www.thorntons-recycling.ie"
"Dublin","Tommy's Waste and Recycling Ltd","086 2229 426","https://www.facebook.com/tommy.waste.9"
"Dublin","Able Recycling Ltd","01 478 10 87","https://www.skipdublin.ie/"
"Dublin","Advanced Waste Recycling","01 401 1928","https://www.advancedwaste.ie/"
"Dublin","Allied Recycling","046 943 3366","http://www.alliedrecycling.ie"
"Dublin","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Dublin","Clearer Waste Management","086 825 3502",""
"Dublin","Ecoway Waste Management Ltd.","01 8748 340","https://www.ecoway.ie"
"Dublin","Greyhound Household","01 4577777","https://www.greyhound.ie"
"Dublin","Key Waste Management Ltd.","01 4299 846","https://www.keywaste.ie"
"Galway","Moran Refuse Services Ltd.","087 2638 796","https://www.moranrefuse.ie"
"Galway","Mr Binman","061 351 129","https://www.mrbinman.com"
"Galway","Panda Green","01 8298992","https://www.panda.ie/household/"
"Galway","The Binman","086 3517274",""
"Galway","The City Bin Co. Unlimited Company","1800 248 926","https://www.citybin.com"
"Galway","Walsh Waste Ltd","091 840 841","https://www.walshwaste.com/"
"Galway","Athchursail Aran Teo","046 943 3379",""
"Galway","Ballinrobe Waste Disposal Ltd.","094 954 1847 / 094 952 1836","https://www.ballinrobewaste.ie/"
"Galway","Barna Recycling","091 771 622","https://www.barnarecycling.com"
"Galway","Henry Kenny","087 9697 528",""
"Kerry","KWD Recycling","1850 373 737","https://www.kwd.ie"
"Kerry","Michael Healy","086 3753 959",""
"Kerry","Mr Binman","061 351 130","https://www.mrbinman.com"
"Kerry","Higgins Waste & Recycling Services Ltd (Kerry)","066 7123 059","https://www.higginswaste.com"
"Kerry","Kerry County Council","","https://www.kerrycoco.ie"
"Kildare","Oxigen Environmental Unlimited Company","0818 694 437","https://www.oxigen.ie/"
"Kildare","Panda Green","01 8298992","https://www.panda.ie/household/"
"Kildare","Ray Whelan Limited","059 9147 679","https://www.raywhelan.ie"
"Kildare","Thorntons Recycling","01 6235 134","https://www.thorntons-recycling.ie"
"Kildare","Advanced Waste Recycling","01 401 1929","https://www.advancedwaste.ie/"
"Kildare","Allied Recycling","046 943 3366","http://www.alliedrecycling.ie"
"Kildare","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Kildare","Greyhound Household","01 4577777","https://www.greyhound.ie"
"Kildare","Key Waste Management Ltd.","01 4299 847","https://www.keywaste.ie"
"Kilkenny","Kilkenny County Council","056 7794 000","https://www.kilkennycoco.ie"
"Kilkenny","Kollect Developments Group Ltd","051 364 495","https://www.kollect.ie"
"Kilkenny","Oxigen Environmental Unlimited Company","0818 694 438","https://www.oxigen.ie/"
"Kilkenny","Panda Green","01 8298992","https://www.panda.ie/household/"
"Kilkenny","Quality Recycling Ltd","051 642 334","https://www.qrl.ie/"
"Kilkenny","Quality Recycling Ltd","1890 929241","https://www.qrl.ie/"
"Kilkenny","Ray Whelan Limited","059 9147 680","https://www.raywhelan.ie"
"Kilkenny","Ryan Brothers Waste Recycling Services","0504 21658","https://www.ryanbros.ie/"
"Kilkenny","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Kilkenny","Clean Ireland Recycling","1890 361 802","https://www.cleanireland.ie"
"Kilkenny","Country Clean Recycling Unlimited Company","022 468 49","https://www.countryclean.ie"
"Kilkenny","Doheny Wheelie Bins & Recycling Limited","056 772 9838","https://www.dohenywheeliebins.com"
"Laois","Mr Binman","061 351 131","https://www.mrbinman.com"
"Laois","Oxigen Environmental Unlimited Company","0818 694 439","https://www.oxigen.ie/"
"Laois","Panda Green","01 8298992","https://www.panda.ie/household/"
"Laois","Ray Whelan Limited","059 9147 681","https://www.raywhelan.ie"
"Laois","Ryan Brothers Waste Recycling Services","0504 21659","https://www.ryanbros.ie/"
"Laois","Thorntons Recycling","01 6235 135","https://www.thorntons-recycling.ie"
"Laois","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Laois","Doheny Wheelie Bins & Recycling Limited","056 772 9839","https://www.dohenywheeliebins.com"
"Leitrim","Mulleadys Ltd","043 3324 129","https://www.mulleadys.com"
